"@M4ngU5il @jokowi Please lah, mudik itu beda dengan pulang kampung.
Seperti ngutang itu beda dengan pinjam uang.
Catat itu kisanak!!! 😎",1
"@jonniambarita @VIVAcoid Iya 1-2 ... 1-2 juta dari Jakarta sudah mudik dluan,.. eh Pulkam dluan bawa virus ke daerah2,.. bijiemane tuh?..",1
Suka suka pak penghulu mau mudik ke...mau pulang kampung ke...yang penting Makan. https://t.co/3bB4bkKlmq,1
https://t.co/4D2gfm0uIF,1
"@tian_pra Sama, ga iso mudik kering disini",1
"-gabisa mudik buat nyambut puasa bareng keluarga
-gabisa tarawih berjamaah dimasjid
-gabisa bukber 
-gabisa liat orang rame2 beli takjil buat berbuka

Berasa bgt sedihnya moment yg dirindukan setiap Bulan Ramadhan, tapi tahun ini ga ada

Semoga bumi kita lekas membaik ya.",1
"Hasil tangkapan layar Wikipedia Bahasa Indonesia. Lihatlah kelakuan para buzzeRp yang berkali2 berusaha mengubah definisi ""mudik"", menghilangkan frasa ""pulang kampung"" demi bayaran untuk membela kedunguan. @mas__piyuuu @AdhieMassardi @Mardigu_WP @MardaniAliSera https://t.co/113DlldZno",1
"@DivHumas_Polri @ChristWamea izin saran pak, biasanya mudik itu mulainya H-7 (ditandai dengan kebijakan Kemenhub ttg pengaturan penggunaan Tol) dan bukan H-30, mungkin yang dimaksud tsb adalah larangan pulang kampung. terimakasih",1
@detikcom Makanya klo mudik ato pulang kampung th ini  harus bawa tulisan pulang kampung...biar gak disuruh balik...ingat jgn bilang mudik,1
"TERCYDUK! Presiden @Jokowi Gunakan ""Pulang Kampung"" dan ""Mudik"" dalam Arti Yang Sama, Kok Sekarang Bilang Beda? https://t.co/6aGaFgmjHl

cc @NajwaShihab @MataNajwa https://t.co/yqFSRTbNMV",1
"Orang-orang pd sibuk mikir apa bedanya ‘mudik’ dan ‘pulang kampung’.
Tapi coba pertanyaannya dbalik; apa dua istilah/diksi yang tepat utk membedakan “pulang dalam rangka lebaran” dengan “pulang di waktu-waktu lain”? Kalau mencari definisi tinggal buka KBBI, mencari diksi drmana?",1
"@freego09 @yunusbara71 @KRMTRoySuryo2 @NajwaShihab Kalimat ""Pulang Kampung"" ada dasar kata ga ? seperti kata Mudik dari Muleh + Udik.

Kata mudik dlm percakapan nya = Pulang kampung 👍.presiden sebut beda nya Makna ""Pulang Kampung"" tdk ada sebab hari raya klu mudik sebab nya hari raya.

Kenapa ucapan presiden ditibutin ?? 😁",1
"https://t.co/9fT3eyeixO

Presiden Jokowi mengatakan mudik berbeda dengan pulang kampung. Bila kita menengok Kamus Besar Bahasa Indonesia (KBBI), maka arti mudik adalah pulang kampung.",1
"Hal hal teknis dan detail untuk tindaklanjut lainnya agar dilakukan persiapan dan pembahasan lebih lanjut oleh DIROPSYAN AP2 dengan mengacu kepada Perpres dan PerMenhub tentang Larangan Mudik. 

Terima kasih
@AngkasaPura_2 @AP_Airports @detikcom @AngkasaPura_2",1
"*URGENT &amp; IMPORTANT*

Rapat Koordinasi Ditjen Perhubungan Udara, Zoom Meeting, 23 April 2020 Pukul 13.00

Hasil Pembahasan Rapat :

Berdasarkan Perpres Larangan Mudik Lebaran dan akan ditindaklanjuti dengan Permenhub tentang Angkutan Udara pada Periode Larangan Mudik",1
"MUDIK  itu tradisi sedangkan PULANG KAMPUNG itu sekedar KEBIASAAN. Namun, KEBIASAAN PULANG KAMPUNG menjelang Hari Raya itu disebut MUDIK.

Konklusi:
MUDIK itu bagian dari KEBIASAAN PULANG KAMPUNG yang sudah menjadi TRADISI.

RUWET...!
RUWET...!
RUWET...!",1
"Disaat himbauan jaga jarak, bahkan sampai pelarangan mudik merebak, masyarakat malah semakin ramai memenuhi musholla dan masjid. Tak ada jarak diantara mereka, tak ada masker yg dipakai. Lalu ketika terjadi ledakan pasien positif COVID-19, apa mereka bisa menerima?",1
"Jangan mudik dulu, Bambang! #DiRumahAja https://t.co/B3ka7WptMC",1
